id,start,dest,show time,on bus,leave
0,Oruamo Domain,Roberts Road,297,5000.0,5500.0
1,Oruamo Domain,Birkenhead Avenue,808,5000.0,8500.0
2,Oruamo Domain,Pupuke Road,1359,5000.0,7500.0
3,Oruamo Domain,Northcote Primary School,1399,5000.0,11000.0
4,Oruamo Domain,Pupuke Road,1567,5000.0,7500.0
5,Oruamo Domain,Northcote Primary School,1569,5000.0,11000.0
6,Oruamo Domain,Northcote Primary School,1983,5000.0,11000.0
7,Oruamo Domain,Fanshawe Street,3593,5000.0,12000.0
8,Oruamo Domain,Pupuke Road,4878,5000.0,7500.0
9,Oruamo Domain,Coronation Road,4997,5000.0,6000.0
10,Oruamo Domain,Park Avenue,5014,10000.0,14500.0
11,Oruamo Domain,Northcote Primary School,5741,10000.0,16000.0
12,Oruamo Domain,Aorangi Place,6315,10000.0,14000.0
13,Oruamo Domain,Coronation Road,6467,10000.0,11000.0
14,Oruamo Domain,Roberts Road,7047,10000.0,10500.0
15,Oruamo Domain,Onewa Road,7247,10000.0,15000.0
16,Oruamo Domain,Coronation Road,8206,10000.0,11000.0
17,Oruamo Domain,Fanshawe Street,8482,10000.0,17000.0
18,Oruamo Domain,McDowell Crescent,8600,10000.0,11500.0
19,Oruamo Domain,Coronation Road,9152,10000.0,11000.0
20,Oruamo Domain,Roberts Road,9435,10000.0,10500.0
21,Oruamo Domain,Pupuke Road,9445,10000.0,12500.0
22,Oruamo Domain,St Mary Catholic Church,9480,10000.0,15500.0
23,Oruamo Domain,Pupuke Road,9888,10000.0,12500.0
24,Oruamo Domain,Park Avenue,10205,15000.0,19500.0
25,Oruamo Domain,Birkenhead Avenue,10579,15000.0,18500.0
26,Oruamo Domain,McDowell Crescent,11335,15000.0,16500.0
27,Oruamo Domain,Park Avenue,12117,15000.0,19500.0
28,Oruamo Domain,Northcote Primary School,12664,15000.0,21000.0
29,Oruamo Domain,Waratah Street,14209,15000.0,18000.0
30,Oruamo Domain,Fanshawe Street,14416,15000.0,22000.0
31,Oruamo Domain,Fanshawe Street,14519,15000.0,22000.0
32,Oruamo Domain,Aorangi Place,14920,15000.0,19000.0
33,Oruamo Domain,Coroglen Avenue,15162,20000.0,22000.0
34,Oruamo Domain,Coronation Road,16360,20000.0,21000.0
35,Oruamo Domain,Birkenhead Avenue,16457,20000.0,23500.0
36,Oruamo Domain,St Mary Catholic Church,16695,20000.0,25500.0
37,Oruamo Domain,Northcote Primary School,16752,20000.0,26000.0
38,Oruamo Domain,Park Avenue,16839,20000.0,24500.0
39,Oruamo Domain,Coroglen Avenue,17096,20000.0,22000.0
